ID,nombre,precio
1,Lambcasing,$160.62
2,"Fish - Soup Base, Bouillon",$94.34
3,Juice - Orangina,$206.45
4,Sauce - Thousand Island,$136.17
5,Muffin Batt - Carrot Spice,$129.58
6,Cheese - Comte,$46.00
7,"Bread - Roll, Calabrese",$109.87
8,Beer - Corona,$61.77
9,Baking Soda,$116.51
10,"Wine - White, Cooking",$279.35
11,Rolled Oats,$56.34
12,Chicken - Whole Fryers,$130.19
13,Clams - Bay,$149.31
14,Dry Ice,$108.04
15,Raisin - Golden,$251.93
16,"Coconut - Shredded, Sweet",$61.60
17,"Bread - Roll, Italian",$126.15
18,"Sole - Dover, Whole, Fresh",$92.47
19,Lid Tray - 12in Dome,$17.82
20,Godiva White Chocolate,$182.22
21,"Bread - Sticks, Thin, Plain",$41.27
22,Lid Coffee Cup 8oz Blk,$228.70
23,Crab - Soft Shell,$47.38
24,Smoked Paprika,$297.95
25,Mayonnaise - Individual Pkg,$166.29
26,Shichimi Togarashi Peppeers,$32.22
27,Pastry - Chocolate Marble Tea,$113.80
28,Lettuce - Belgian Endive,$74.77
29,Lobster - Canned Premium,$290.09
30,Wine - Redchard Merritt,$298.00
31,"Sugar - Sweet N Low, Individual",$123.47
32,Beef - Prime Rib Aaa,$101.92
33,Soup - Campbells,$259.53
34,Tahini Paste,$154.90
35,"Soup - Knorr, Chicken Gumbo",$132.87
36,Bread - Sour Batard,$150.33
37,Cake - Cheese Cake 9 Inch,$285.91
38,Beef Tenderloin Aaa,$78.86
39,Capers - Pickled,$194.22
40,Spinach - Spinach Leaf,$224.25
41,Wine - Crozes Hermitage E.,$100.22
42,Oil - Peanut,$246.29
43,"Doilies - 7, Paper",$159.37
44,Cheese - La Sauvagine,$205.11
45,Peas Snow,$79.18
46,Salt - Table,$260.47
47,Tea - Herbal - 6 Asst,$242.25
48,Jam - Apricot,$209.43
49,Mangostein,$47.80
50,Cranberries - Fresh,$24.86
51,Sugar - Fine,$224.67
52,Vinegar - Rice,$252.27
53,Cleaner - Pine Sol,$283.67
54,Beans - Kidney White,$32.46
55,Bag - Regular Kraft 20 Lb,$115.97
56,Soup - Cream Of Broccoli,$194.29
57,Wine - Niagara Peninsula Vqa,$109.85
58,Icecream Cone - Areo Chocolate,$36.69
59,Cake - Pancake,$164.40
60,Oil - Olive Bertolli,$28.39
61,Mustard - Pommery,$137.34
62,"Salmon - Whole, 4 - 6 Pounds",$60.63
63,Milk - 1%,$270.34
64,Cheese Cloth No 60,$233.33
65,Puree - Passion Fruit,$273.64
66,"Cheese - Mozzarella, Buffalo",$49.92
67,Cake - French Pear Tart,$62.16
68,Banana Turning,$295.72
69,Water - San Pellegrino,$37.31
70,Cabbage - Savoy,$255.94
71,Soho Lychee Liqueur,$107.99
72,Grouper - Fresh,$105.67
73,"Juice - Tomato, 10 Oz",$90.64
74,Sausage - Andouille,$70.20
75,"Veal - Chops, Split, Frenched",$131.46
76,"Pepper - White, Whole",$129.97
77,Wine - Crozes Hermitage E.,$238.58
78,Lid Tray - 12in Dome,$190.72
79,Roe - Flying Fish,$117.95
80,Cheese - Le Cheve Noir,$70.59
81,"Wine - Red, Mosaic Zweigelt",$70.92
82,"Veal - Insides, Grains",$142.38
83,Ocean Spray - Kiwi Strawberry,$134.08
84,Pernod,$220.77
85,"Wine - Magnotta - Red, Baco",$36.63
86,Onion Powder,$106.51
87,Cookie - Oreo 100x2,$39.20
88,Lemons,$220.30
89,Cake - Dulce De Leche,$231.36
90,"Melon - Watermelon, Seedless",$63.52
91,"Olives - Green, Pitted",$282.01
92,"Pepper - Chipotle, Canned",$181.24
93,Loquat,$40.10
94,Ginger - Crystalized,$207.98
95,Cabbage - Green,$298.35
96,"Bread - Pullman, Sliced",$190.66
97,Trout - Smoked,$114.60
98,Muffin Mix - Banana Nut,$141.04
99,Pastry - Mini French Pastries,$88.69
100,"Turkey - Breast, Bone - In",$261.10
